Player,Team,OPP,At Bats,Runs,Hits,Total Bases,2B,3B,Home Runs,RunsBattedIn,Bases on Balls,Intentional Walks,StrikeOut,StolenBases,CaughtStealing,AVG,On-Base Percentage,Slugging Percentage,HitByPitch,sacrifice bunt,Sacrifice Flies,
Shohei Ohtani,20-Mar,@ SD,5,0,2,2,0,0,0,1,0,0,0,1,0,0.4,0.4,0.4,0,0,0,
Shohei Ohtani,21-Mar,vs SD,5,1,1,1,0,0,0,1,0,0,0,0,0,0.3,0.273,0.3,0,0,1,
Shohei Ohtani,28-Mar,vs STL,3,1,2,3,1,0,0,0,1,0,1,0,0,0.385,0.4,0.462,0,0,0,
Shohei Ohtani,29-Mar,vs STL,4,0,0,0,0,0,0,0,0,0,1,0,0,0.294,0.316,0.353,0,0,0,
Shohei Ohtani,30-Mar,vs STL,5,1,1,1,0,0,0,0,1,0,2,0,0,0.273,0.32,0.318,0,0,0,
Shohei Ohtani,31-Mar,vs STL,4,1,1,2,1,0,0,0,0,0,2,0,0,0.269,0.31,0.346,0,0,0,
Mookie Betts,20-Mar,@ SD,4,0,2,2,0,0,0,1,1,0,0,0,0,0.5,0.6,0.5,0,0,0,
Mookie Betts,21-Mar,vs SD,5,2,4,8,1,0,1,6,1,0,0,0,0,0.667,0.727,1.111,0,0,0,
Mookie Betts,28-Mar,vs STL,2,3,1,4,0,0,1,1,2,0,0,0,0,0.636,0.733,1.273,0,0,0,
Mookie Betts,29-Mar,vs STL,3,1,1,4,0,0,1,1,1,0,2,0,0,0.571,0.684,1.286,0,0,0,
Mookie Betts,30-Mar,vs STL,4,3,3,7,1,0,1,1,2,0,0,0,0,0.611,0.72,1.389,0,0,0,
Mookie Betts,31-Mar,vs STL,4,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.621,1.136,0,0,0,
Freddie Freeman,20-Mar,@ SD,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0.6,0,1,0,0,
Freddie Freeman,21-Mar,vs SD,4,0,1,1,0,0,0,0,2,0,2,0,0,0.167,0.545,0.167,0,0,0,
Freddie Freeman,28-Mar,vs STL,3,2,2,5,0,0,1,3,1,0,1,0,0,0.333,0.6,0.667,0,0,0,
Freddie Freeman,29-Mar,vs STL,4,0,0,0,0,0,0,0,0,0,1,0,0,0.231,0.474,0.462,0,0,0,
Freddie Freeman,30-Mar,vs STL,5,1,3,3,0,0,0,1,0,0,1,0,0,0.333,0.5,0.5,0,0,0,
Freddie Freeman,31-Mar,vs STL,3,0,0,0,0,0,0,0,0,0,0,0,0,0.286,0.464,0.429,1,0,0,
Freddie Freeman,1-Apr,vs SF,4,2,3,4,1,0,0,2,0,0,1,0,0,0.36,0.5,0.52,0,0,0,
Freddie Freeman,2-Apr,vs SF,4,0,3,4,1,0,0,1,0,0,0,1,0,0.414,0.528,0.586,0,0,0,
Freddie Freeman,3-Apr,vs SF,3,0,0,0,0,0,0,0,0,0,1,0,0,0.375,0.5,0.531,1,0,0,
Freddie Freeman,5-Apr,@ CHC,2,3,1,1,0,0,0,0,3,0,0,0,0,0.382,0.533,0.529,0,0,0,
Freddie Freeman,6-Apr,@ CHC,5,0,0,0,0,0,0,0,0,0,2,0,0,0.333,0.48,0.462,0,0,0,
Freddie Freeman,7-Apr,@ CHC,3,0,1,1,0,0,0,0,0,0,0,0,0,0.333,0.472,0.452,0,0,0,
Freddie Freeman,8-Apr,@ MIN,4,0,2,2,0,0,0,1,0,0,0,0,0,0.348,0.466,0.457,0,0,1,
Freddie Freeman,9-Apr,@ MIN,5,1,1,1,0,0,0,0,0,0,3,0,0,0.333,0.444,0.431,0,0,0,
Freddie Freeman,10-Apr,@ MIN,3,0,1,2,1,0,0,0,1,0,0,0,0,0.333,0.448,0.444,0,0,0,
Freddie Freeman,12-Apr,vs SD,5,1,1,1,0,0,0,0,0,0,1,0,0,0.322,0.431,0.424,0,0,0,
Freddie Freeman,13-Apr,vs SD,4,0,0,0,0,0,0,0,0,0,1,0,0,0.302,0.408,0.397,0,0,0,
Freddie Freeman,14-Apr,vs SD,4,1,1,2,1,0,0,0,0,0,0,0,0,0.299,0.4,0.403,0,0,0,
Freddie Freeman,15-Apr,vs WSH,4,0,1,1,0,0,0,0,0,0,1,0,0,0.296,0.393,0.394,0,0,0,
Freddie Freeman,16-Apr,vs WSH,2,0,0,0,0,0,0,0,3,1,1,0,0,0.288,0.404,0.384,0,0,0,
Freddie Freeman,17-Apr,vs WSH,3,0,0,0,0,0,0,0,1,0,0,0,0,0.276,0.398,0.368,0,0,0,
Freddie Freeman,19-Apr,vs NYM,5,0,0,0,0,0,0,0,0,0,3,0,0,0.259,0.378,0.346,0,0,0,
Freddie Freeman,20-Apr,vs NYM,3,0,2,2,0,0,0,3,2,0,0,0,0,0.274,0.398,0.357,0,0,0,
Freddie Freeman,21-Apr,vs NYM,3,1,2,4,2,0,0,2,0,0,0,0,0,0.287,0.406,0.391,0,0,0,
Freddie Freeman,23-Apr,@ WSH,4,0,2,3,1,0,0,0,1,0,0,0,0,0.297,0.414,0.407,0,0,0,
Freddie Freeman,24-Apr,@ WSH,5,0,1,1,0,0,0,2,1,0,2,0,0,0.292,0.41,0.396,0,0,0,
Freddie Freeman,25-Apr,@ WSH,3,0,2,3,1,0,0,1,1,0,0,0,0,0.303,0.421,0.414,0,0,0,
Freddie Freeman,26-Apr,@ TOR,3,1,1,1,0,0,0,1,1,0,0,0,1,0.304,0.424,0.412,0,0,0,
Freddie Freeman,27-Apr,@ TOR,3,0,1,1,0,0,0,1,1,0,1,0,0,0.305,0.423,0.41,0,0,1,
Freddie Freeman,28-Apr,@ TOR,3,1,1,4,0,0,1,1,1,1,1,0,0,0.306,0.425,0.435,0,0,0,
Freddie Freeman,29-Apr,@ AZ,4,1,1,1,0,0,0,0,1,0,0,0,0,0.304,0.424,0.429,0,0,0,
Freddie Freeman,30-Apr,@ AZ,4,0,1,2,1,0,0,0,1,0,1,0,0,0.302,0.424,0.431,0,0,0,
Mookie Betts,1-Apr,vs SF,3,3,2,5,1,1,0,0,1,0,0,0,0,0.52,0.636,1.2,0,0,0,
Mookie Betts,2-Apr,vs SF,5,2,2,5,0,0,1,1,0,0,2,1,0,0.5,0.605,1.167,0,0,0,
Mookie Betts,3-Apr,vs SF,3,0,1,1,0,0,0,0,1,0,0,0,0,0.485,0.595,1.091,0,0,0,
Mookie Betts,5-Apr,@ CHC,5,1,1,1,0,0,0,0,0,0,2,0,0,0.447,0.553,0.974,0,0,0,
Mookie Betts,6-Apr,@ CHC,3,0,0,0,0,0,0,0,2,0,1,0,0,0.415,0.538,0.902,0,0,0,
Mookie Betts,7-Apr,@ CHC,3,1,0,0,0,0,0,0,1,0,0,0,0,0.386,0.518,0.841,0,0,0,
Mookie Betts,8-Apr,@ MIN,4,1,1,1,0,0,0,0,1,0,2,1,0,0.375,0.508,0.792,0,0,0,
Mookie Betts,9-Apr,@ MIN,2,1,1,1,0,0,0,0,3,0,1,0,0,0.38,0.53,0.78,0,0,0,
Mookie Betts,10-Apr,@ MIN,5,1,1,1,0,0,0,0,0,0,0,0,0,0.364,0.507,0.727,0,0,0,
Mookie Betts,12-Apr,vs SD,6,1,1,4,0,0,1,3,0,0,1,0,0,0.344,0.481,0.721,0,0,0,
